Creator username,Affiliate GMV,Affiliate LIVE GMV,Affiliate shoppable video GMV,Affiliate product card GMV,Affiliate products sold,Items sold,Est. commission,Avg. order value,Affiliate product showcase,Affiliate orders,CTR,Product impressions,Avg. affiliate customers,Affiliate LIVEs,Affiliate shoppable videos,Target collaboration GMV,Target collaboration est. commission,Open collaboration GMV,Open collaboration est. commission,Affiliate refunded GMV,Affiliate items refunded,Affiliate followers,ROI,视频封面,视频标题,视频时长,达人头像,达人昵称,达人粉丝数,国家/地区,FastMoss达人详情页链接,TikTok官网达人主页链接,发布时间,播放量,点赞数,互动率,FastMoss视频详情页链接,该商品销量,该商品销售额,TikTok官网视频主页
jomaryeedump_,634253.12,0,632583.12,1670,6,2159,49543.8,303.33,0,2091,0.111,745679,65.97,0,0,0,0,634253.12,49543.8,78457.22,268,2561482,11.80186663,https://s.500fd.com/tt_video/osCQDVeejOIu8gDqCHGv6iLkfOFXAAHINSKzQI,oh ganon ganon lang sya be kailangan 0tin to goow!,60,https://s.500fd.com/tt_author/7deabb9c8c10ea0f3428a6bc9cf5ee04~tplv-tiktokx-cropcenter:1080:1080.jpeg,Dump ni Jomar Yee,2605276,PH,www.fastmoss.com/zh/influencer/detail/6739499565046858753,https://www.tiktok.com/@,2024/11/9,1500000,39700,0.028,www.fastmoss.com/zh/media-source/video/7435206447132200210,312,219408.96,https://www.tiktok.com/@/video/7435206447132200210
iamadrian07,426676.29,406364.46,19950.83,361,28,1541,41039.45,331.01,0,1289,0.0421,803442,40.52,31,0,187820.29,22732.99,238856,18275,103645.27,255,375665,9.396735093,https://s.500fd.com/tt_video/oY0ovAfNEbIGALj4DaQCQzAAwIaAfeH1EYGII.jpeg,"Ganda ng Goojodoq Fan ko, Salamat sa Rhines Stone Gagas No More 0aa ❤️ #goojodoqturbofan #turbofan #goojodoq  #portablefan #rhinesstone",80,https://s.500fd.com/tt_author/ba03f18bc5960fbdffeed8a7c18c1a88~c5_720x720.webp,iAmAdrian07,385510,PH,www.fastmoss.com/zh/influencer/detail/6990379113224848385,https://www.tiktok.com/@,2024/9/10,512094,6458,0.014,www.fastmoss.com/zh/media-source/video/7412978321715236103,16,11705.87,https://www.tiktok.com/@/video/7412978321715236103
goojodoq.philippines,382191.08,377616.02,4575.06,0,20,843,33769.81,557.94,0,685,0.0398,333515,21.42,33,0,158904.22,14766.78,223286.86,19003.03,72681.57,129,101182,10.31753717,https://s.500fd.com/tt_video/oYfdTUKAAABiAUwn6hBMKzIpyEAVcaKnbiuBCd,New colors just dropped! Don’t buy this unless you want to stay fresh ALL day long. ��️#goojodoqfan #goojodoqturbofan #goojodoqportablefan #TikTokMadeMeBuyIt #goojodoqstore,29,https://s.500fd.com/tt_author/00d518618f0862843e2d53c02e844819~tplv-tiktokx-cropcenter:1080:1080.jpeg,GOOJODOQ.STORE.PH,144692,PH,www.fastmoss.com/zh/influencer/detail/7251503820898272257,https://www.tiktok.com/@,2025/1/24,19300,58,0.004,www.fastmoss.com/zh/media-source/video/7463426982097718546,22,14364.31,https://www.tiktok.com/@/video/7463426982097718546
skincarechuchay,51883.46,0,51883.46,0,4,272,3964.31,210.91,0,246,0.1066,109744,7.81,0,0,0,0,51883.46,3964.31,6119.85,30,81737,12.08763946,https://s.500fd.com/tt_video/ocjy30DfACsAIBeEzMK8TIgOiR0ty0AkUiEB4.image,May bagong labas 0 color ang goojodoq fan �. #goojodoq #minifan #portablefan,34,https://s.500fd.com/tt_author/0daa3989c3b8b2870b437fa52fb7edfa~c5_300x300.jpeg,Chuchaaay,84991,PH,www.fastmoss.com/zh/influencer/detail/18592546,https://www.tiktok.com/@,2025/3/7,1276,8,0.013,www.fastmoss.com/zh/media-source/video/7479035570589633799,1,698,https://www.tiktok.com/@/video/7479035570589633799
y0collections_,77445.22,77325.22,120,0,4,187,7329,490.16,0,158,0.0979,26264,4.97,37,2,0,0,77445.22,7329,14192.08,27,12683,9.566955929,https://s.500fd.com/tt_video/ocwE20ADDFfcACUAin1KREgAYEEqfBPDITBgpG,check out agad habang mura pa � #goojodoqturbofan #goojodoq #turbofan #handheldfan #portablefan #highspeedfan,21,https://s.500fd.com/tt_author/df8105eea59f8a4f67360df99a4c7b48.jpeg,Y0Collections �,15714,PH,www.fastmoss.com/zh/influencer/detail/7296311750844351490,https://www.tiktok.com/@,2025/3/14,1024,4,0.007,www.fastmoss.com/zh/media-source/video/7481330028572134674,2,1394.72,https://www.tiktok.com/@/video/7481330028572134674
y0collections_,77445.22,77325.22,120,0,4,187,7329,490.16,0,158,0.0979,26264,4.97,37,2,0,0,77445.22,7329,14192.08,27,12683,9.566955929,https://s.500fd.com/tt_video/oAYlvLpIABtiD4I7EO7G9AZwiAHCS0oBERAB,Stay Cool everyday! � #goojodoq #goojodoqturbofan #turbofan #highspeedfan #handheldfan #portablefan,16,https://s.500fd.com/tt_author/df8105eea59f8a4f67360df99a4c7b48.jpeg,Y0Collections �,15714,PH,www.fastmoss.com/zh/influencer/detail/7296311750844351490,https://www.tiktok.com/@,2025/3/13,289,2,0.007,www.fastmoss.com/zh/media-source/video/7481103583803378962,1,636.72,https://www.tiktok.com/@/video/7481103583803378962
y0collections_,77445.22,77325.22,120,0,4,187,7329,490.16,0,158,0.0979,26264,4.97,37,2,0,0,77445.22,7329,14192.08,27,12683,9.566955929,https://s.500fd.com/tt_video/oMDfOoA9nIAE3AtfAKAYQfIVeniG0SMgfGmMKL,bhe ang init 0 ngayon kaya humabol ka0 bago kapa maubusan �� #goojodoq #goojodoqturbofan #turbofan #highspeedfan #handheldfan #portablefan,11,https://s.500fd.com/tt_author/df8105eea59f8a4f67360df99a4c7b48.jpeg,Y0Collections �,15714,PH,www.fastmoss.com/zh/influencer/detail/7296311750844351490,https://www.tiktok.com/@,2025/3/7,1042,8,0.008,www.fastmoss.com/zh/media-source/video/7479068160528796936,1,698,https://www.tiktok.com/@/video/7479068160528796936
y0collections_,77445.22,77325.22,120,0,4,187,7329,490.16,0,158,0.0979,26264,4.97,37,2,0,0,77445.22,7329,14192.08,27,12683,9.566955929,https://s.500fd.com/tt_video/oMnyGsBeQAvkC4ZEIPAVYBA7ARFk9QfuogQDpE,sobrang init buti 0lang may goojodoq turbo fan life saver! �� #goojodoq #goojodoqturbofan #turbofan #highspeedfan #handheldfan #portablefan,22,https://s.500fd.com/tt_author/df8105eea59f8a4f67360df99a4c7b48.jpeg,Y0Collections �,15714,PH,www.fastmoss.com/zh/influencer/detail/7296311750844351490,https://www.tiktok.com/@,2025/3/7,1038,7,0.007,www.fastmoss.com/zh/media-source/video/7479065332825476370,1,758,https://www.tiktok.com/@/video/7479065332825476370
y0collections_,77445.22,77325.22,120,0,4,187,7329,490.16,0,158,0.0979,26264,4.97,37,2,0,0,77445.22,7329,14192.08,27,12683,9.566955929,https://s.500fd.com/tt_video/oYiIujIK1DqIAABiBwfmiwAKA0EFiAtVAV5zuC,0kasale 0 habol 0 dali!! � #goojodoq #goojodoqturbofan #turbofan #highspeedfan #handheldfan #portablefan,10,https://s.500fd.com/tt_author/df8105eea59f8a4f67360df99a4c7b48.jpeg,Y0Collections �,15714,PH,www.fastmoss.com/zh/influencer/detail/7296311750844351490,https://www.tiktok.com/@,2025/3/7,870,8,0.016,www.fastmoss.com/zh/media-source/video/7478994800881061127,1,698,https://www.tiktok.com/@/video/7478994800881061127
y0collections_,77445.22,77325.22,120,0,4,187,7329,490.16,0,158,0.0979,26264,4.97,37,2,0,0,77445.22,7329,14192.08,27,12683,9.566955929,https://s.500fd.com/tt_video/owvaA0mDvzR5EwipzcGi5C9BBYACeIIrO3KAAA,ang aga mo mag 4.4 SALE goojodoq! � #goojodoq #goojodoqturbofan #turbofan #handheldfan #highspeed #portablefan,15,https://s.500fd.com/tt_author/df8105eea59f8a4f67360df99a4c7b48.jpeg,Y0Collections �,15714,PH,www.fastmoss.com/zh/influencer/detail/7296311750844351490,https://www.tiktok.com/@,2025/4/1,797,5,0.008,www.fastmoss.com/zh/media-source/video/7488305749551090951,0,0,https://www.tiktok.com/@/video/7488305749551090951
